review_id,product_id,title,author,rating,content,timestamp,is_verified,helpful_count,product_attributes
R1,PID002,Great sound!,User1,2,"Sound is okay, but there are better options.",2024-09-24,True,36,"Color: White, Style: Wired"
R2,PID001,Amazing!,User2,2,"Decent for the price, but a bit uncomfortable.",2024-12-24,True,29,"Color: Black, Style: Wireless"
R3,PID004,Average,User3,4,"Decent for the price, but a bit uncomfortable.",2024-04-15,True,13,"Color: Blue, Style: Noise Cancelling"
R4,PID004,Average,User4,1,"Sound is okay, but there are better options.",2024-12-19,True,36,"Color: Blue, Style: Noise Cancelling"
R5,PID001,Great sound!,User5,3,"Decent for the price, but a bit uncomfortable.",2024-08-08,True,17,"Color: Black, Style: Wireless"
R6,PID002,Average,User6,5,Exceeded my expectations. Great bass and clarity.,2024-01-07,False,34,"Color: White, Style: Wired"
R7,PID004,Amazing!,User7,4,Exceeded my expectations. Great bass and clarity.,2024-08-07,True,3,"Color: Blue, Style: Noise Cancelling"
R8,PID003,Amazing!,User8,4,The sound quality is amazing. Highly recommend!,2024-03-04,True,22,"Color: Red, Style: Over-Ear"
R9,PID002,Amazing!,User9,3,"Sound is okay, but there are better options.",2024-01-20,False,45,"Color: White, Style: Wired"
R10,PID004,Average,User10,4,"Decent for the price, but a bit uncomfortable.",2024-11-10,True,8,"Color: Blue, Style: Noise Cancelling"
R11,PID001,Good value,User11,4,"Sound is okay, but there are better options.",2024-03-15,True,11,"Color: Black, Style: Wireless"
R12,PID004,Amazing!,User12,5,Exceeded my expectations. Great bass and clarity.,2024-10-17,True,39,"Color: Blue, Style: Noise Cancelling"
R13,PID004,Good value,User13,3,"Decent for the price, but a bit uncomfortable.",2024-02-22,False,25,"Color: Blue, Style: Noise Cancelling"
R14,PID003,Not satisfied,User14,5,"Battery life is poor, and the fit is uncomfortable.",2024-10-11,True,0,"Color: Red, Style: Over-Ear"
R15,PID003,Average,User15,4,"Sound is okay, but there are better options.",2024-12-02,False,5,"Color: Red, Style: Over-Ear"
R16,PID004,Great sound!,User16,2,Exceeded my expectations. Great bass and clarity.,2024-01-16,True,16,"Color: Blue, Style: Noise Cancelling"
R17,PID003,Average,User17,1,"Sound is okay, but there are better options.",2024-02-25,True,4,"Color: Red, Style: Over-Ear"
R18,PID005,Great sound!,User18,2,Exceeded my expectations. Great bass and clarity.,2024-08-18,True,43,"Color: Gray, Style: Bluetooth"
R19,PID003,Not satisfied,User19,1,"Sound is okay, but there are better options.",2024-04-06,False,5,"Color: Red, Style: Over-Ear"
